,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
2285,9780385339087,0385339089,The Client,,John Grisham,Fiction,http://books.google.com/books/content?id=u61XH0OJ5AUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Eleven-year-old Mark Sway accidentally witnesses a murder and becomes the target of relentless prosecutors and the mob, and the only person who can save him is Reggie Love, an attorney barely out of law school. Reprint. 35,000 first printing.",2005.0,3.99,483.0,351882.0
2288,9780385339605,0385339607,The Rainmaker,,John Grisham,Fiction,http://books.google.com/books/content?id=BdeLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Abandoning his aspirations about living the good life, novice Memphis lawyer Rudy Baylor fears he will lose everything in the face of a pivotal case that could cost him his life or turn him into the biggest rainmaker in the land as he stumbles upon a huge case of insurance fraud in which he must go head to head with one of the most powerful defense attorneys and industries in America. Reprint. 35,000 first printing.",2005.0,3.93,419.0,146553.0
2292,9780385339698,0385339690,The Runaway Jury,,John Grisham,Fiction,http://books.google.com/books/content?id=CTfIUb784ooC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A member of the jury for the century's most explosive trial against a giant tobacco company, Juror #2, a mysterious man with a past and a hidden agenda, joins forces with a beautiful woman on the outside to get the verdict he wants, no matter what the cost. Reprint. 35,000 first printing.",2006.0,3.97,358.0,239779.0
2293,9780385339704,0385339704,The Pelican Brief,,John Grisham,Fiction,http://books.google.com/books/content?id=pNyk1XwS9rwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When the Supreme Court's most liberal and most conservative justices are gunned down, law student Darby Shaw builds a case against a powerful suspect, whose threats send her underground. Reprint. 35,000 first printing.",2006.0,3.98,400.0,323142.0
2339,9780385721677,0385721676,Oryx and Crake,A Novel,Margaret Atwood,Fiction,http://books.google.com/books/content?id=lSysmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A novel of the future explores a world that has been devastated by ecological and scientific disasters.,2004.0,4.01,389.0,176663.0
2340,9780385721790,038572179X,Atonement,A Novel,Ian McEwan,Fiction,http://books.google.com/books/content?id=vZy0xrEHJRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution.",2003.0,3.89,351.0,379336.0
2422,9780393327342,0393327345,Fight Club: A Novel,,Chuck Palahniuk,Fiction,http://books.google.com/books/content?id=SzfvHXu_5t8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In a confusing world poised on the brink of mayhem, Tyler Durden, a projectionist, waiter, and anarchic genius, comes up with an idea to create clubs in which young men can escape their humdrum existence and prove themselves in barehanded fights. Reprint. 50,000 first printing.",2005.0,4.2,218.0,384407.0
2453,9780393978896,0393978893,Wuthering Heights,"The 1847 Text, Backgrounds and Contexts, Criticism",Emily Bronte;Emily Brontë,Fiction,http://books.google.com/books/content?id=dBKCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The text of the novel is based on the first edition of 1847.,2003.0,3.84,464.0,1041597.0
2609,9780425197547,0425197549,Guilty Pleasures,,Laurell K. Hamilton,Fiction,http://books.google.com/books/content?id=9SOVyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Vampire hunter Anita Blake (known by the vampires she kills as ""The Executioner"") is hired by the most powerful vampire in town to find out who has been murdering vampires. Reprint.",2004.0,4.02,355.0,112848.0
2619,9780425200452,0425200450,Murder on the Orient Express,A Hercule Poirot Mystery,Agatha Christie,Fiction,http://books.google.com/books/content?id=DZ47PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On a three-day journey through the snowbound Balkan hills, Hercule Poirot must weed through an array of international suspects to find the passenger who murdered a gangster on the Orient Express.",2004.0,4.16,322.0,144452.0
2761,9780440221661,0440221668,The Fiery Cross,,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=4D5ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The time is 1771 and the colony of North Carolina teeters on an uneasy edge. Jamie Fraser is a man of worth but he has a lot to lose. His wife, Claire, is known notoriously as a wisewoman or a witch. They both know they have to survive",2005.0,4.27,1443.0,120981.0
2785,9780440242949,0440242940,Outlander,,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=lmFKUOJbXiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Hurtled back through time more than two hundred years to Scotland in 1743, Claire Randall finds herself caught in the midst of an unfamiliar world torn apart by violence, pestilence, and revolution and haunted by her growing feelings for James Fraser, a young soldier. Reissue.",2005.0,4.22,850.0,627194.0
